# lastUpdated: 2025-09-16T14:20:06.826Z
CourseCode,Section,Faculty,CourseTime,TotalSeat,TakenSeat,RoomId,Room
ACT201,1,AhU,11:20 AM - 12:50 PM RA,40,40,15,NAC510
ACT201,2,ARm,01:00 PM - 02:30 PM ST,40,40,21,NAC310
ACT201,3,ARm,02:40 PM - 04:10 PM ST,40,40,22,NAC206
ACT201,4,Asy,09:40 AM - 11:10 AM MW,40,40,22,NAC206
ACT201,5,Asy,11:20 AM - 12:50 PM MW,40,40,17,NAC410
ACT201,6,AWKm,02:40 PM - 04:10 PM RA,40,35,17,NAC410
ACT201,7,FI,01:00 PM - 02:30 PM MW,40,40,63,NAC307
ACT201,8,FI,02:40 PM - 04:10 PM MW,40,40,63,NAC307
ACT201,9,HAS,04:20 PM - 05:50 PM ST,40,40,15,NAC510
ACT201,10,IAC,09:40 AM - 11:10 AM ST,40,40,18,NAC411
ACT201,11,MdM,11:20 AM - 12:50 PM ST,40,40,17,NAC410
ACT201,12,MIBS,08:00 AM - 09:30 AM ST,40,40,21,NAC310
ACT201,13,MN,01:00 PM - 02:30 PM MW,40,40,18,NAC411
ACT201,14,MN,02:40 PM - 04:10 PM MW,40,40,17,NAC410
ACT201,15,MN,01:00 PM - 02:30 PM ST,40,40,15,NAC510
ACT201,16,MN,02:40 PM - 04:10 PM ST,40,40,12,NAC507
ACT201,17,NNh,09:40 AM - 11:10 AM MW,41,41,21,NAC310
ACT201,18,NNh,11:20 AM - 12:50 PM MW,40,40,20,NAC309
ACT201,19,SHA1,02:40 PM - 04:10 PM ST,40,40,15,NAC510
ACT201,20,TsA,08:00 AM - 09:30 AM MW,40,40,18,NAC411
ACT201,21,AZR,06:00 PM - 07:30 PM MW,40,29,22,NAC206
ACT201,22,KSR,02:40 PM - 04:10 PM ST,40,39,18,NAC411
ACT201,23,MIBS,01:00 PM - 02:30 PM ST,40,40,12,NAC507
ACT201,24,MhMR,01:00 PM - 02:30 PM RA,40,39,17,NAC410
ACT201,25,MOB,09:40 AM - 11:10 AM RA,40,28,15,NAC510
ACT201,26,MSKn,02:40 PM - 04:10 PM RA,40,40,130,NAC215
ACT201,27,ARm,04:20 PM - 05:50 PM MW,40,40,20,NAC309
ACT201,28,AUL,09:40 AM - 11:10 AM RA,40,35,17,NAC410
ACT201,29,KSR,04:20 PM - 05:50 PM MW,40,9,21,NAC310
ACT201,30,SHA1,04:20 PM - 05:50 PM ST,40,23,21,NAC310
ACT202,1,FI,01:00 PM - 02:30 PM ST,40,40,18,NAC411
ACT202,2,FI,02:40 PM - 04:10 PM ST,40,40,20,NAC309
ACT202,3,IAC,08:00 AM - 09:30 AM MW,40,35,39,NAC406
ACT202,4,IAC,11:20 AM - 12:50 PM MW,40,40,18,NAC411
ACT202,5,MGR,08:00 AM - 09:30 AM ST,40,39,20,NAC309
ACT202,6,MIBS,08:00 AM - 09:30 AM MW,40,40,17,NAC410
ACT202,7,MRE,11:20 AM - 12:50 PM RA,40,40,21,NAC310
ACT202,8,Rby,01:00 PM - 02:30 PM ST,40,40,14,NAC509
ACT202,9,RMH1,11:20 AM - 12:50 PM ST,40,40,43,NAC413
ACT202,10,RMH1,08:00 AM - 09:30 AM ST,40,40,39,NAC406
ACT202,11,SHA1,01:00 PM - 02:30 PM MW,40,38,14,NAC509
ACT202,12,SHA1,02:40 PM - 04:10 PM MW,40,39,15,NAC510
ACT202,13,Sys,11:20 AM - 12:50 PM MW,40,40,194,NAC513
